topic,Context/Source,Transcript,sentiment,confidence,sentiment_score
BetterHelp,Mental Health Podcast Mid-roll,"This episode is sponsored by BetterHelp. If you're struggling with your mental health, therapy can be a game-changer. BetterHelp is online, convenient, and matches you with a licensed therapist based on your needs. Visit BetterHelp.com/code for 10% off your first month.",positive,0.8572,-0.8572
BetterHelp,YouTube Lifestyle Vlog,"I want to thank BetterHelp for sponsoring this video. Sometimes life gets overwhelming and you just need someone to talk to. With BetterHelp, you can message your therapist anytime and schedule video or phone sessions. Check the link in the description to get started.",positive,0.8158,-0.8158
BetterHelp,True Crime Podcast Break,"BetterHelp sponsors our show today. Whether you're dealing with anxiety, depression, or just everyday stress, their network of therapists can help you navigate it. It's affordable and more accessible than traditional in-person therapy. Join over 4 million people using BetterHelp.",positive,0.824,-0.824
BetterHelp,Self-Improvement YouTube Channel,"Navigating career changes or relationship issues? BetterHelp is here to help. Just fill out a brief survey to get matched. If you don't click with your first therapist, you can switch for free. Get 10% off your first month at BetterHelp.com/code.",neutral,0.5393,-0.5393
BetterHelp,Relationship Advice Podcast,"Therapy isn't just for crises; it's for maintenance. BetterHelp makes it easy to fit mental wellness into a busy schedule. No commute, no waiting rooms. Go to BetterHelp.com/code today.",positive,0.6986,-0.6986
AG1,Science/Health Podcast (Huberman style),"AG1 is the foundational nutrition drink I've taken every day for years. With 75 high-quality ingredients, it supports gut health, immunity, and energy. It's the simplest way to cover all your nutritional bases in one scoop. DrinkAG1.com/code for a free year of Vitamin D.",positive,0.9569,-0.9569
AG1,Business/Productivity YouTube,"Thanks to AG1 for sponsoring. I'm always looking for ways to optimize my day, and AG1 is my 'nutritional insurance.' It replaces my multivitamin, probiotic, and more. One scoop of powder in water and you're set for the day.",positive,0.9678,-0.9678
AG1,Fitness/Bodybuilding Podcast,"For athletes, recovery starts with nutrition. AG1 provides whole-food sourced ingredients that are easy for the body to absorb. It’s NSF Certified for Sport, which is why I trust it for my training. Check out the link in the show notes.",positive,0.8622,-0.8622
AG1,Morning Routine Vlog,"My morning routine always starts with AG1. It tastes surprisingly fresh and light, not like other green powders. It's been a game changer for my digestion and skin. Use my link to get 5 free travel packs with your first order.",positive,0.9797,-0.9797
AG1,Tech/Entrepreneurship Podcast,"High performance requires high-quality fuel. AG1 is the easiest habit I have to maintain my health while traveling for business. It's comprehensive, convenient, and science-backed. Visit drinkAG1.com/code to try it today.",positive,0.922,-0.922
Magic Spoon,Comedy Podcast Intro,"Magic Spoon is the high-protein, zero-sugar cereal that tastes just like the stuff you loved as a kid. It has 14g of protein and only 4g of net carbs. Use code PROMO at MagicSpoon.com for $5 off.",positive,0.9447,-0.9447
Magic Spoon,Gaming YouTube Stream Integration,"Shoutout to Magic Spoon for sponsoring the stream! I’ve been snacking on their Cocoa flavor all night. It’s keto-friendly and gluten-free, so I don't get that mid-game sugar crash. Link in the bio!",positive,0.9629,-0.9629
Magic Spoon,Parenting/Family Podcast,"As a parent, I love that I can give my kids Magic Spoon. They think it's a treat because it tastes like Fruity Loops, but I know it has 0 grams of sugar and high protein. It's a win-win for breakfast time.",positive,0.9535,-0.9535
Magic Spoon,Nutrition/Diet YouTube Review,"I've tried a lot of healthy cereals, but Magic Spoon is the only one that actually has that crunch. The Peanut Butter flavor is incredible. If you're low-carb but miss cereal, this is the solution. Use my code for a discount.",positive,0.9502,-0.9502
Magic Spoon,Pop Culture Podcast Break,Magic Spoon cereal is re-imagining breakfast. They just released new flavors and their variety pack is the best way to try them all. It's a guilt-free snack for late-night cravings. Go to MagicSpoon.com/code.,positive,0.9762,-0.9762
LMNT,Athletic Training YouTube,"LMNT is a zero-sugar electrolyte drink mix. It has the perfect science-backed ratio of sodium, potassium, and magnesium. It's essential for anyone who fasts or works out. Get a free sample pack at DrinkLMNT.com/code.",positive,0.895,-0.895
LMNT,Biohacking/Longevity Podcast,"We talk a lot about hydration, but water isn't enough—you need salt. LMNT helps prevent those afternoon headaches and brain fog caused by electrolyte deficiency. No sugar, no junk, just what you need.",neutral,0.6116,-0.6116
LMNT,Outdoor/Hiking Vlog,"I'm out here on the trail and LMNT is what's keeping me going. When you're sweating this much, you're losing salt. LMNT replaces it without the sugar found in traditional sports drinks. The Citrus Salt flavor is my favorite.",positive,0.8809,-0.8809
LMNT,Weightlifting/CrossFit Podcast,"LMNT is a staple in my gym bag. It helps with muscle cramps and keeps my energy levels stable throughout heavy lifting sessions. If you're keto or low-carb, this is a must-have. Try their new Watermelon Salt flavor.",positive,0.9647,-0.9647
LMNT,Professional Athlete Interview Break,I’ve noticed a huge difference in my recovery since I started using LMNT. It's used by Navy SEALs and pro athletes for a reason. Get 8 single-serving packets free with any order when you use my link.,positive,0.9311,-0.9311
